ExperimentName	Subject	Block	Trial	Category	Condition	Delay	DelayFixation.OffsetTime	DelayFixation.OnsetTime	Distractors	Go.OffsetTime	Go.OnsetTime	Novelty	Relevance	Stim.ACC	Stim.OffsetTime	Stim.OnsetTime	Stim.RT
TRSEscan	122	7	19	Faces	Both	2390	422228	419938	1			Repeat	Relevant	1	419825	419335	927
TRSEscan	122	7	20	Faces	Both	6390	429227	422937	0			Novel	Relevant	1	422824	422334	744
TRSEscan	122	7	21	Scenes	Both	4390	434229	429939	2			Novel	Relevant	1	429825	429335	927
TRSEscan	122	8	1		Faces					465821	464831						
TRSEscan	122	8	2	Faces	Faces	2390	470722	468432	0			Novel	Relevant	1	468319	467829	777
TRSEscan	122	8	3	Faces	Faces	4390	475720	471430	0			Novel	Relevant	1	471317	470827	651
TRSEscan	122	8	4	Scenes	Faces	6390	482712	476422	2			Novel	Irrelevant	1	476309	475819	699
TRSEscan	122	8	5	Faces	Faces	4390	487714	483424	1			Repeat	Relevant	1	483311	482821	665
TRSEscan	122	8	6	Faces	Faces	2390	490706	488416	0			Repeat	Relevant	1	488303	487813	968
TRSEscan	122	8	7	Faces	Faces	6390	497704	491414	0			Novel	Relevant	1	491301	490811	803
TRSEscan	122	8	8	Scenes	Faces	2390	500706	498416	3			Novel	Irrelevant	1	498303	497813	816
TRSEscan	122	8	9	Scenes	Faces	4390	505704	501414	0			Repeat	Irrelevant	1	501301	500811	507
TRSEscan	122	8	10	Faces	Faces	2390	508696	506406	2			Repeat	Relevant	1	506293	505803	922
TRSEscan	122	8	11	Scenes	Faces	4390	513695	509405	1			Repeat	Irrelevant	1	509292	508802	475
TRSEscan	122	8	12	Scenes	Faces	6390	520686	514396	0			Novel	Irrelevant	1	514284	513794	547
TRSEscan	122	8	13	Faces	Faces	4390	525688	521398	2			Novel	Relevant	1	521285	520795	778
TRSEscan	122	8	14	Scenes	Faces	2390	528680	526390	1			Repeat	Irrelevant	1	526277	525787	602
TRSEscan	122	8	15	Scenes	Faces	6390	535678	529388	0			Novel	Irrelevant	1	529275	528785	596
TRSEscan	122	8	16	Scenes	Faces	4390	540680	536390	0			Novel	Irrelevant	1	536277	535787	426
TRSEscan	122	8	17	Faces	Faces	6390	547672	541382	3			Novel	Relevant	1	541269	540779	714
TRSEscan	122	8	18	Scenes	Faces	2390	550674	548384	1			Repeat	Irrelevant	1	548271	547781	496
TRSEscan	122	8	19	Faces	Faces	2390	553672	551382	1			Repeat	Relevant	1	551269	550779	698
TRSEscan	122	8	20	Faces	Faces	6390	560671	554381	0			Novel	Relevant	1	554267	553777	700
